@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5,6}

@data
37,'2017/02/07 17:15:51:493',1,0.692934,0.386288,0.240559,0.268324,0.09527,0.121921,0.262744,0.302752,0.345381,0.295295,0.230713,0.216579,0.323784,344.53125,0.006315,0.014509,?,?,?
38,'2017/02/07 17:15:51:514',1,0.736196,0.384678,0.165268,0.165151,0.138384,0.189846,0.122909,0.219237,0.073234,0.366593,0.242841,0.365558,0.386518,258.398438,0.007589,0.017202,?,?,?
39,'2017/02/07 17:15:51:535',1,0.649679,0.305575,0.215842,0.303263,0.138485,0.166513,0.39271,0.438474,0.211584,0.140734,0.196517,0.307435,0.204567,19939.746094,0.006068,0.013668,?,?,?
40,'2017/02/07 17:15:51:555',1,0.567932,0.280505,-0.003801,-0.000176,-0.040109,0.082312,0.165439,0.367316,0.318366,0.375947,0.260912,0.213368,0.253605,387.597656,0.006669,0.01368,?,?,?
41,'2017/02/07 17:15:51:578',1,0.72962,0.628458,0.322607,0.203462,0.049047,0.080337,0.131596,0.151562,0.093203,0.331081,0.319614,0.343214,0.23078,215.332031,0.007706,0.018325,?,?,?
42,'2017/02/07 17:15:51:597',1,0.684115,0.384944,0.183462,0.418249,0.173782,0.209409,0.258289,0.115193,-0.026345,0.206185,0.374976,0.423075,0.369546,172.265625,0.005536,0.013266,?,?,?
43,'2017/02/07 17:15:51:619',1,0.761163,0.264419,0.115287,0.203996,0.072133,0.207207,0.276606,0.4279,0.2476,0.206144,0.145243,0.247715,0.133569,430.664063,0.006756,0.01707,?,?,?
44,'2017/02/07 17:15:51:639',1,0.647582,0.300941,0.025771,0.054481,0.023286,0.155477,0.191379,0.305858,0.271444,0.471062,0.339342,0.320586,0.299543,19982.8125,0.007268,0.016259,?,?,?
45,'2017/02/07 17:15:51:660',1,0.84541,0.447105,0.157719,0.177572,0.174731,0.096613,0.178792,0.273661,0.262393,0.266281,0.171575,0.277512,0.235698,215.332031,0.005928,0.013218,?,?,?
46,'2017/02/07 17:15:51:681',1,0.897269,0.552823,0.212094,0.177107,0.061955,-0.001781,0.015137,0.234274,0.239651,0.339463,0.261237,0.213428,0.234003,215.332031,0.006023,0.016688,?,?,?
47,'2017/02/07 17:15:51:702',1,0.645818,0.222352,0.12512,0.347259,0.328358,0.243555,0.316706,0.350153,0.03261,0.171724,0.230864,0.210152,0.2989,19810.546875,0.005895,0.015614,?,?,?
48,'2017/02/07 17:15:51:722',1,0.711403,0.454538,0.187143,0.209832,0.173539,0.241796,0.2982,0.41143,0.175192,0.098092,0.216442,0.341393,0.241597,19982.8125,0.006742,0.018694,?,?,?
49,'2017/02/07 17:15:51:743',1,0.911354,0.538296,0.18604,0.182092,0.015205,0.010718,0.195231,0.276593,0.08182,0.275935,0.170436,0.251866,0.335892,215.332031,0.006316,0.016618,?,?,?
50,'2017/02/07 17:15:51:765',1,0.737542,0.458783,0.166022,0.30167,0.220349,0.091843,0.024685,0.138618,0.212924,0.280804,0.357158,0.372383,0.239077,19896.679688,0.006537,0.017425,?,?,?
51,'2017/02/07 17:15:51:785',1,0.734731,0.470144,0.359944,0.350613,0.10718,0.186743,0.150196,0.107239,0.082216,0.213435,0.223638,0.267829,0.226032,172.265625,0.006487,0.01688,?,?,?
